date,rate
2023-01-03,4.2
2023-01-04,3.65
2023-01-05,3.4
2023-01-06,3.5
2023-01-09,3.5
2023-01-10,3.5
2023-01-11,3.4
2023-01-12,3.25
2023-01-13,3.2
2023-01-16,3.2
2023-01-17,3.2
2023-01-18,3.2
2023-01-19,3
2023-01-20,2.94
2023-01-26,2.94
2023-01-27,2.94
2023-01-30,2.75
2023-01-31,2.7
2023-02-01,2.55
2023-02-02,2.5
2023-02-03,2.46
2023-02-06,2.46
2023-02-07,2.4
2023-02-08,2.38
2023-02-09,2.25
2023-02-10,2.22
2023-02-13,2
2023-02-14,2.09
2023-02-15,2.13
2023-02-16,2.1
2023-02-17,2.34
2023-02-20,2.56
2023-02-21,2.87
2023-02-22,2.78
2023-02-23,2.86
2023-02-24,2.88
2023-02-27,2.92
2023-02-28,3
2023-03-01,3.02
2023-03-02,3
2023-03-03,3
2023-03-06,3.03
2023-03-07,3.06
2023-03-08,3.21
2023-03-09,3.26
2023-03-10,3.35
2023-03-13,3.47
2023-03-14,3.37
2023-03-15,3.19
2023-03-16,3.05
2023-03-17,3
2023-03-20,2.99
2023-03-21,3.3
2023-03-22,3
2023-03-23,3.25
2023-03-24,3.25
2023-03-27,3.2
2023-03-28,3.19
2023-03-29,3.17
2023-03-30,3.13
2023-03-31,3.13
2023-04-03,3.14
2023-04-04,3
2023-04-06,2.9
2023-04-11,2.65
2023-04-12,2.7
2023-04-13,2.8
2023-04-14,2.79
2023-04-17,2.8
2023-04-18,2.81
2023-04-19,2.86
2023-04-20,2.92
2023-04-21,3.06
2023-04-24,3.09
2023-04-25,3.2
2023-04-26,3.23
2023-04-27,3.25
2023-04-28,3.28
2023-05-02,3.35
2023-05-03,3.52
2023-05-04,3.6
2023-05-05,3.63
2023-05-08,3.7
2023-05-09,3.72
2023-05-10,4.1
2023-05-11,4.43
2023-05-12,4.33
2023-05-15,4.13
2023-05-16,4.3
2023-05-17,4.42
2023-05-18,4.53
2023-05-19,4.63
2023-05-22,4.71
2023-05-23,4.59
2023-05-24,4.43
2023-05-25,4.35
2023-05-29,4.44
2023-05-30,4.49
2023-05-31,4.49
2023-06-01,4.5
2023-06-02,4.45
2023-06-05,4.2
2023-06-06,4.17
2023-06-07,4.19
2023-06-08,4.31
2023-06-09,4.41
2023-06-12,4.47
2023-06-13,4.51
2023-06-14,4.56
2023-06-15,4.73
2023-06-16,4.92
2023-06-19,4.99
2023-06-20,5.07
2023-06-21,5
2023-06-23,5.06
2023-06-26,5
2023-06-27,4.9
2023-06-28,4.85
2023-06-29,4.95
2023-06-30,4.94
2023-07-03,4.95
2023-07-04,4.85
2023-07-05,4.95
2023-07-06,5
2023-07-07,5.09
2023-07-10,5.06
2023-07-11,5.01
2023-07-12,5
2023-07-13,4.8
2023-07-14,4.92
2023-07-18,5
2023-07-19,5.05
2023-07-20,5.18
2023-07-21,5.2
2023-07-24,5
2023-07-25,5
2023-07-26,5.09
2023-07-27,5.19
2023-07-28,5.26
2023-07-31,5.25
2023-08-01,5.3
2023-08-02,5.34
2023-08-03,5.3
2023-08-04,5.3
2023-08-07,5.1
2023-08-08,5.19
2023-08-09,4.65
2023-08-10,4.65
2023-08-11,4.6
2023-08-14,4.7
2023-08-15,4.7
2023-08-16,4.7
2023-08-17,4.62
2023-08-18,4.59
2023-08-21,4.5
2023-08-22,4.3
2023-08-23,4.3
2023-08-24,4.1
2023-08-25,3.85
2023-08-28,3.7
2023-08-29,3.75
2023-08-30,3.7
2023-08-31,3.74
2023-09-04,3.6
2023-09-05,4
2023-09-06,4.18
2023-09-07,4.18
2023-09-11,4.28
2023-09-12,4.45
2023-09-13,4.95
2023-09-14,5
2023-09-15,5
2023-09-18,5.04
2023-09-19,5.21
2023-09-20,5.3
2023-09-21,5
2023-09-22,5.25
2023-09-25,5.28
2023-09-26,5.3
2023-09-27,5.36
2023-09-28,5.36
2023-09-29,5
2023-10-03,4.8
2023-10-04,4.8
2023-10-05,4.9
2023-10-06,4.85
2023-10-10,4.8
2023-10-11,4.9
2023-10-12,4.9
2023-10-13,4.9
2023-10-16,4.9
2023-10-17,4.95
2023-10-18,4.95
2023-10-19,4.7
2023-10-20,4.8
2023-10-24,4.9
2023-10-25,4.9
2023-10-26,4.9
2023-10-27,4.9
2023-10-30,4.9
2023-10-31,4.85
2023-11-01,4.85
2023-11-02,4.8
2023-11-03,4.7
2023-11-06,4.8
2023-11-07,4.8
2023-11-08,4.89
2023-11-09,4.9
2023-11-10,4.95
